Unnamed: 0;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11
;21.- VISADOS DE DIRECCIÓN DE OBRA NUEVA;;;;;;;;;;
;;;;;;;;;;;
;N.º de viviendas y superficie media según destino principal;;;;;;;;;;
;;;;;;;;;;;
;Granada;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
2022;;;473.0;1273.0;0.0;170.38266384778012;100.7234878240377;;;353.0;2099.0
2021;;;512.0;1032.0;0.0;165.095703125;108.52228682170542;;;331.0;1875.0
2020;;;436.0;1431.0;0.0;176.92889908256882;82.49755415793152;;;375.0;2242.0
2019;;;552.0;1167.0;0.0;168.41123188405794;106.1388174807198;;;449.0;2168.0
2018;;;435.0;745.0;0.0;173.28505747126437;102.49261744966444;;;412.0;1592.0
;;;;;;;;;;;
2023;;Mar;70.0;312.0;0.0;165.8;114.083333;;;31.0;413.0
;;Feb;52.0;99.0;0.0;171.326923;103.151515;;;29.0;180.0
;;Ene;39.0;73.0;0.0;173.615384;116.616438;;;36.0;148.0
2022;;Dic;42.0;51.0;0.0;172.357142;97.254901;;;26.0;119.0
;;Nov;40.0;537.0;0.0;184.825;94.139664;;;55.0;632.0
;;Oct;54.0;145.0;0.0;174.87037;108.062068;;;23.0;222.0
;;Sep;66.0;45.0;0.0;181.727272;128.355555;;;39.0;150.0
;;Ago;56.0;4.0;0.0;164.428571;123.5;;;20.0;80.0
;;Jul;15.0;45.0;0.0;192.066666;74.155555;;;37.0;97.0
;;Jun;14.0;11.0;0.0;181.571428;99.181818;;;28.0;53.0
;;May;49.0;3.0;0.0;191.816326;143.666666;;;40.0;92.0
;;Abr;22.0;263.0;0.0;180.545454;105.121673;;;21.0;306.0
;;Mar;56.0;108.0;0.0;130.571428;114.601851;;;24.0;188.0
;;Feb;34.0;44.0;0.0;139.558823;87.340909;;;21.0;99.0
;;Ene;25.0;17.0;0.0;178.52;120.17647;;;19.0;61.0
2021;;Dic;16.0;155.0;0.0;171.75;117.470967;;;20.0;191.0
;;Nov;40.0;155.0;0.0;157.3;103.28387;;;29.0;224.0
;;Oct;60.0;111.0;0.0;169.5;74.315315;;;42.0;213.0
;;Sep;21.0;75.0;0.0;172.714285;118.306666;;;20.0;116.0
;;Ago;11.0;163.0;0.0;160.727272;98.846625;;;16.0;190.0
;;Jul;30.0;16.0;0.0;169.566666;124.4375;;;28.0;74.0
;;Jun;37.0;116.0;0.0;158.324324;124.327586;;;24.0;177.0
;;May;141.0;42.0;0.0;148.758865;120.47619;;;31.0;214.0
;;Abr;32.0;112.0;0.0;186.8125;129.0;;;27.0;171.0
;;Mar;32.0;22.0;0.0;178.46875;104.818181;;;28.0;82.0
;;Feb;47.0;8.0;0.0;178.425531;233.5;;;26.0;81.0
;;Ene;45.0;57.0;0.0;176.2;78.052631;;;40.0;142.0
2020;;Dic;35.0;118.0;0.0;176.142857;103.805084;;;31.0;184.0
;;Nov;37.0;575.0;0.0;162.081081;49.577391;;;42.0;654.0
;;Oct;39.0;100.0;0.0;193.333333;99.3;;;38.0;177.0
;;Sep;52.0;61.0;0.0;182.923076;96.721311;;;34.0;147.0
;;Ago;23.0;23.0;0.0;176.130434;108.608695;;;22.0;68.0
;;Jul;42.0;108.0;0.0;163.357142;106.388888;;;42.0;192.0
;;Jun;48.0;149.0;0.0;179.3125;112.610738;;;38.0;235.0
;;May;36.0;117.0;0.0;184.083333;96.982905;;;25.0;178.0
;;Abr;20.0;32.0;0.0;193.4;102.03125;;;22.0;74.0
;;Mar;34.0;61.0;0.0;158.67647;108.885245;;;20.0;115.0
;;Feb;43.0;62.0;0.0;182.372093;116.338709;;;38.0;143.0
;;Ene;27.0;25.0;0.0;173.185185;89.36;;;23.0;75.0
2019;;Dic;33.0;340.0;0.0;170.363636;101.332352;;;27.0;400.0
;;Nov;43.0;45.0;0.0;164.232558;93.288888;;;36.0;124.0
;;Oct;35.0;127.0;0.0;190.085714;89.377952;;;37.0;199.0
;;Sep;38.0;95.0;0.0;180.026315;115.726315;;;42.0;175.0
;;Ago;21.0;32.0;0.0;180.095238;104.875;;;15.0;68.0
;;Jul;66.0;251.0;0.0;181.121212;109.65737;;;50.0;367.0
;;Jun;62.0;68.0;0.0;145.370967;137.161764;;;31.0;161.0
;;May;36.0;90.0;0.0;167.861111;108.6;;;54.0;180.0
;;Abr;41.0;21.0;0.0;153.512195;105.0;;;27.0;89.0
;;Mar;105.0;19.0;0.0;162.266666;102.894736;;;61.0;185.0
;;Feb;34.0;13.0;0.0;178.558823;124.846153;;;33.0;80.0
;;Ene;38.0;66.0;0.0;173.421052;107.636363;;;36.0;140.0
2018;;Dic;25.0;24.0;0.0;147.68;117.375;;;33.0;82.0
;;Nov;41.0;34.0;0.0;152.365853;86.352941;;;27.0;102.0
;;Oct;45.0;96.0;0.0;197.822222;79.302083;;;38.0;179.0
;;Sep;35.0;67.0;0.0;168.628571;81.402985;;;31.0;133.0
;;Ago;14.0;3.0;0.0;176.214285;69.0;;;25.0;42.0
;;Jul;50.0;212.0;0.0;169.24;114.698113;;;55.0;317.0
;;Jun;35.0;17.0;0.0;188.0;100.882352;;;33.0;85.0
;;May;54.0;42.0;0.0;180.185185;106.595238;;;36.0;132.0
;;Abr;44.0;113.0;0.0;169.772727;137.646017;;;33.0;190.0
;;Mar;24.0;44.0;0.0;180.083333;70.954545;;;35.0;103.0
;;Feb;39.0;78.0;0.0;166.692307;87.230769;;;38.0;155.0
;;Ene;29.0;15.0;0.0;176.0;89.466666;;;28.0;72.0
2017;;Dic;27.0;26.0;0.0;158.629629;141.038461;;;25.0;78.0
;;Nov;36.0;117.0;1.0;183.527777;107.897435;;;41.0;195.0
;;Oct;33.0;4.0;0.0;190.212121;123.0;;;37.0;74.0
;;Sep;17.0;19.0;0.0;184.235294;94.421052;;;26.0;62.0
;;Ago;13.0;197.0;0.0;183.692307;84.761421;;;17.0;227.0
;;Jul;44.0;0.0;0.0;179.590909;0.0;;;34.0;78.0
;;Jun;41.0;239.0;0.0;169.414634;109.815899;;;41.0;321.0
;;May;31.0;22.0;0.0;193.774193;124.090909;;;55.0;108.0
;;Abr;100.0;9.0;1.0;163.78;81.111111;;;42.0;152.0
;;Mar;57.0;34.0;0.0;182.298245;118.205882;;;55.0;146.0
;;Feb;34.0;55.0;0.0;200.5;102.581818;;;33.0;122.0
;;Ene;33.0;293.0;0.0;154.393939;114.87372;;;24.0;350.0
2016;;Dic;35.0;18.0;0.0;159.371428;107.555555;;;37.0;90.0
;;Nov;111.0;10.0;0.0;165.945945;67.7;;;39.0;160.0
;;Oct;37.0;30.0;0.0;169.432432;128.633333;;;25.0;92.0
;;Sep;30.0;49.0;0.0;156.3;127.653061;;;38.0;117.0
;;Ago;14.0;0.0;0.0;156.357142;0.0;;;17.0;31.0
;;Jul;30.0;20.0;0.0;166.133333;76.35;;;60.0;110.0
;;Jun;40.0;12.0;0.0;167.725;78.0;;;52.0;104.0
;;May;27.0;67.0;0.0;168.0;87.910447;;;41.0;135.0
;;Abr;36.0;42.0;1.0;179.527777;102.619047;;;48.0;127.0
;;Mar;56.0;5.0;0.0;154.571428;109.8;;;40.0;101.0
;;Feb;15.0;7.0;0.0;179.2;145.714285;;;25.0;47.0
;;Ene;26.0;75.0;0.0;194.538461;115.026666;;;31.0;132.0
2015;;Dic;23.0;34.0;0.0;211.782608;84.5;;;28.0;85.0
;;Nov;44.0;98.0;0.0;174.431818;87.316326;;;39.0;181.0
;;Oct;35.0;0.0;0.0;192.6;0.0;;;42.0;77.0
;;Sep;25.0;18.0;0.0;172.96;147.055555;;;25.0;68.0
;;Ago;12.0;32.0;0.0;193.666666;91.6875;;;28.0;72.0
;;Jul;49.0;174.0;0.0;164.428571;54.925287;;;51.0;274.0
;;Jun;38.0;21.0;0.0;175.289473;91.190476;;;36.0;95.0
;;May;34.0;22.0;0.0;208.058823;67.045454;;;37.0;93.0
;;Abr;26.0;12.0;1.0;189.26923;156.25;;;43.0;82.0
;;Mar;32.0;53.0;1.0;172.8125;95.26415;;;36.0;122.0
;;Feb;36.0;35.0;0.0;160.472222;112.571428;;;31.0;102.0
;;Ene;20.0;45.0;0.0;183.15;109.4;;;18.0;83.0
2014;;Dic;20.0;0.0;0.0;182.55;0.0;;;29.0;49.0
;;Nov;11.0;9.0;0.0;179.454545;121.333333;;;21.0;41.0
;;Oct;15.0;54.0;0.0;154.666666;98.074074;;;34.0;103.0
;;Sep;35.0;2.0;0.0;168.142857;114.0;;;29.0;66.0
;;Ago;15.0;49.0;0.0;166.666666;75.612244;;;18.0;82.0
;;Jul;54.0;2.0;0.0;187.129629;125.0;;;57.0;113.0
;;Jun;16.0;0.0;0.0;170.875;0.0;;;42.0;58.0
;;May;17.0;4.0;0.0;169.705882;143.25;;;38.0;59.0
;;Abr;33.0;11.0;0.0;166.30303;117.272727;;;46.0;90.0
;;Mar;25.0;6.0;0.0;202.6;57.0;;;44.0;75.0
;;Feb;25.0;0.0;0.0;158.6;0.0;;;28.0;53.0
;;Ene;17.0;74.0;0.0;159.411764;101.054054;;;48.0;139.0
2013;;Dic;21.0;2.0;0.0;167.857142;72.5;;;18.0;41.0
;;Nov;46.0;0.0;0.0;149.043478;0.0;;;47.0;93.0
;;Oct;36.0;3.0;0.0;180.583333;93.333333;;;50.0;89.0
;;Sep;21.0;48.0;0.0;166.0;115.479166;;;51.0;120.0
;;Ago;5.0;0.0;0.0;175.8;0.0;;;18.0;23.0
;;Jul;51.0;6.0;0.0;161.254901;100.0;;;73.0;130.0
;;Jun;32.0;14.0;0.0;166.125;64.428571;;;50.0;96.0
;;May;19.0;42.0;0.0;181.842105;103.5;;;54.0;115.0
;;Abr;24.0;4.0;0.0;186.208333;94.25;;;58.0;86.0
;;Mar;16.0;20.0;0.0;218.625;73.8;;;26.0;62.0
;;Feb;23.0;15.0;0.0;150.565217;136.933333;;;29.0;67.0
;;Ene;45.0;18.0;0.0;167.133333;86.833333;;;29.0;92.0
2012;;Dic;18.0;19.0;0.0;167.888888;100.526315;;;24.0;61.0
;;Nov;23.0;58.0;0.0;195.347826;102.534482;;;48.0;129.0
;;Oct;46.0;29.0;0.0;146.173913;120.034482;;;52.0;127.0
;;Sep;25.0;3.0;0.0;171.12;150.333333;;;30.0;58.0
;;Ago;12.0;121.0;0.0;172.833333;102.669421;;;18.0;151.0
;;Jul;29.0;39.0;0.0;197.413793;114.615384;;;58.0;126.0
;;Jun;34.0;6.0;0.0;186.647058;66.0;;;43.0;83.0
;;May;44.0;44.0;0.0;218.090909;79.818181;;;63.0;151.0
;;Abr;56.0;4.0;0.0;204.714285;125.25;;;42.0;102.0
;;Mar;33.0;130.0;0.0;183.787878;85.623076;;;47.0;210.0
;;Feb;46.0;7.0;0.0;163.5;132.714285;;;47.0;100.0
;;Ene;34.0;230.0;0.0;180.235294;58.704347;;;43.0;307.0
2011;;Dic;33.0;51.0;0.0;163.727272;131.058823;;;40.0;124.0
;;Nov;50.0;69.0;0.0;167.36;91.869565;;;64.0;183.0
;;Oct;62.0;23.0;0.0;159.354838;91.434782;;;54.0;139.0
;;Sep;38.0;9.0;0.0;157.763157;73.888888;;;58.0;105.0
;;Ago;13.0;8.0;0.0;147.923076;67.75;;;20.0;41.0
;;Jul;89.0;65.0;0.0;167.35955;77.230769;;;86.0;240.0
;;Jun;57.0;175.0;1.0;170.842105;84.885714;;;71.0;304.0
;;May;36.0;219.0;0.0;177.638888;85.968036;;;65.0;320.0
;;Abr;80.0;219.0;0.0;159.9625;115.438356;;;61.0;360.0
;;Mar;87.0;36.0;0.0;214.75862;106.75;;;68.0;191.0
;;Feb;29.0;115.0;0.0;183.75862;68.269565;;;55.0;199.0
;;Ene;49.0;166.0;0.0;163.285714;99.674698;;;56.0;271.0
2010;;Dic;49.0;32.0;0.0;193.55102;98.625;;;50.0;131.0
;;Nov;55.0;34.0;0.0;176.50909;81.117647;;;56.0;145.0
;;Oct;54.0;36.0;0.0;149.388888;99.388888;;;107.0;197.0
;;Sep;67.0;123.0;0.0;163.432835;130.487804;;;88.0;278.0
;;Ago;4.0;0.0;0.0;213.5;0.0;;;12.0;16.0
;;Jul;78.0;58.0;0.0;167.333333;93.189655;;;108.0;244.0
;;Jun;91.0;217.0;0.0;146.197802;88.847926;;;90.0;398.0
;;May;42.0;167.0;0.0;145.119047;105.880239;;;73.0;282.0
;;Abr;62.0;295.0;0.0;159.612903;79.755932;;;75.0;432.0
;;Mar;51.0;21.0;0.0;154.90196;86.619047;;;83.0;155.0
;;Feb;81.0;10.0;4.0;158.925925;99.3;;;82.0;177.0
;;Ene;24.0;13.0;0.0;182.25;98.230769;;;70.0;107.0
2009;;Dic;76.0;130.0;0.0;147.171052;73.66923;;;71.0;277.0
;;Nov;78.0;98.0;1.0;157.243589;93.285714;;;92.0;269.0
;;Oct;72.0;228.0;0.0;131.319444;78.14035;;;69.0;369.0
;;Sep;42.0;107.0;0.0;169.45238;91.542056;;;89.0;238.0
;;Ago;3.0;0.0;0.0;240.333333;0.0;;;1.0;4.0
;;Jul;123.0;146.0;0.0;151.195121;93.047945;;;186.0;455.0
;;Jun;37.0;213.0;0.0;181.162162;92.478873;;;168.0;418.0
;;May;69.0;180.0;0.0;157.826086;122.505555;;;91.0;340.0
;;Abr;56.0;126.0;0.0;162.428571;99.166666;;;74.0;256.0
;;Mar;52.0;85.0;0.0;168.76923;101.270588;;;66.0;203.0
;;Feb;58.0;103.0;0.0;155.275862;114.233009;;;77.0;238.0
;;Ene;72.0;308.0;0.0;162.708333;109.88961;;;49.0;429.0
2008;;Dic;82.0;245.0;0.0;136.475609;82.824489;;;52.0;379.0
;;Nov;79.0;179.0;0.0;147.860759;93.675977;;;74.0;332.0
;;Oct;89.0;154.0;0.0;148.651685;95.363636;;;134.0;377.0
;;Sep;89.0;76.0;0.0;169.550561;107.513157;;;116.0;281.0
;;Ago;39.0;79.0;0.0;164.461538;98.860759;;;27.0;145.0
;;Jul;127.0;372.0;0.0;160.881889;90.083333;;;77.0;576.0
;;Jun;173.0;219.0;0.0;159.01156;102.56621;;;81.0;473.0
;;May;135.0;838.0;0.0;163.111111;89.263723;;;76.0;1049.0
;;Abr;250.0;1077.0;0.0;152.968;100.33519;;;76.0;1403.0
;;Mar;246.0;650.0;0.0;143.829268;88.636923;;;60.0;956.0
;;Feb;185.0;914.0;0.0;147.627027;86.852297;;;56.0;1155.0
;;Ene;237.0;293.0;0.0;159.49789;81.197952;;;71.0;601.0
2007;;Dic;146.0;679.0;0.0;159.732876;80.129602;;;74.0;899.0
;;Nov;152.0;819.0;0.0;148.894736;88.533577;;;97.0;1068.0
;;Oct;235.0;1103.0;0.0;151.021276;94.565729;;;90.0;1428.0
;;Sep;279.0;754.0;0.0;153.16129;73.438992;;;64.0;1097.0
;;Ago;81.0;364.0;0.0;163.296296;92.291208;;;22.0;467.0
;;Jul;332.0;1199.0;0.0;143.89759;98.219349;;;79.0;1610.0
